policy_label,workload,policy,cpp_file_path,ipc,cache_hit_rate
best,astar,best-performing-policy,best-performing-policy.cc,0.10489,0.42845221052034754
best,lbm,best-performing-policy,best-performing-policy.cc,0.535222,0.4028062180401894
best,mcf,best-performing-policy,best-performing-policy.cc,0.074309,0.4606801707011581
best,milc,best-performing-policy,best-performing-policy.cc,0.366431,0.30788141668537333
best,omnetpp,best-performing-policy,best-performing-policy.cc,0.468543,0.8513996337629958
hawkeye,astar,hawkeye_final,ChampSim_CRC2/champ_repl_pol/hawkeye_final.cc,0.112219,0.3573547794394494
hawkeye,lbm,hawkeye_final,ChampSim_CRC2/champ_repl_pol/hawkeye_final.cc,0.596838,0.27289983516244354
hawkeye,mcf,hawkeye_final,ChampSim_CRC2/champ_repl_pol/hawkeye_final.cc,0.0812631,0.5087725688923012
hawkeye,milc,hawkeye_final,ChampSim_CRC2/champ_repl_pol/hawkeye_final.cc,0.37839,0.06456693483565899
hawkeye,omnetpp,hawkeye_final,ChampSim_CRC2/champ_repl_pol/hawkeye_final.cc,0.457304,0.6753672808393627
lime,astar,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.110739,0.38901773944350737
lime,lbm,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.555505,0.32972240516582263
lime,mcf,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.0820529,0.5230175409101099
lime,milc,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.368337,0.23460321368313578
lime,omnetpp,lime,ChampSim_CRC2/champ_repl_pol/lime.cc,0.453687,0.6900525496418154
lru,astar,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.103988,0.45454223305787467
lru,lbm,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.538881,0.43985783443540666
lru,mcf,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.0701995,0.4074020886631043
lru,milc,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.364294,0.3219114100958022
lru,omnetpp,lru,ChampSim_CRC2/champ_repl_pol/lru.cc,0.438361,0.4606533811310401
ship_pp,astar,ship++,ChampSim_CRC2/champ_repl_pol/ship++.cc,0.111255,0.33821173935846005
ship_pp,lbm,ship++,ChampSim_CRC2/champ_repl_pol/ship++.cc,0.591046,0.2615846099982021
ship_pp,mcf,ship++,ChampSim_CRC2/champ_repl_pol/ship++.cc,0.0826903,0.524743749964974
ship_pp,milc,ship++,ChampSim_CRC2/champ_repl_pol/ship++.cc,0.373146,0.054986712238499026
ship_pp,omnetpp,ship++,ChampSim_CRC2/champ_repl_pol/ship++.cc,0.461175,0.698462878241108
